SL,Style,PAN Styl,Image,Cat Lvl_1,Cat Lvl_2,Cat Lvl_3,Item,Color,Cost (€),Price (€),S,M,L,XL,XXL,3XL,Total,Brand
65,TT-SWA-182,PAN2022044,,Women,Top,Sweater,Womens Sweater,Spring Bud + STRONG BLUE,4.70,14.89,  -   ,4,2,3,  -   ,  -   ,  9.00
66,TT-SWA-177,PAN2022045,,Women,Top,Sweater,Womens Sweater,Bright Marigold + scooter,3.99,13.95,  -   ,4,  -   ,1,  -   ,  -   ,  5.00
67,TT-SWA-178,PAN2022046,,Women,Top,Sweater,Womens Sweater,Fuschia Purple,3.99,13.95,  -   ,5,3,2,  -   ,  -   ,  10.00
68,TT-SWA-198,PAN2022047,,Women,Top,Sweater,Womens Sweater,Black + Purple Opulence,3.99,13.95,  -   ,1,2,3,  -   ,  -   ,  6.00
69,TT-SWA-199,PAN2022048,,Women,Top,Sweater,Womens Sweater,Blue Coral + Dark Citron ,3.99,13.95,  -   ,5,3,1,  -   ,  -   ,  9.00
70,TT-SWA-185,PAN2022049,,Women,Top,Sweater,Womens Sweater,Mulberry Purple + orange peel,4.13,14.13,  -   ,6,  -   ,1,1,  -   ,  8.00
71,TT-SWA-186,PAN2022050,,Women,Top,Sweater,Womens Sweater,Sap Green + peony,4.13,14.13,  -   ,5,2,2,  -   ,  -   ,  9.00
72,TT-SWA-189,PAN2022051,,Women,Top,Sweater,Womens Sweater,Surf The Web + bubblegum,4.13,14.13,  -   ,3,1,4,  -   ,  -   ,  8.00
73,TT-SWA-190,PAN2022052,,Women,Top,Sweater,Womens Sweater,Rose Violet + sap green,4.13,14.13,  -   ,4,1,2,  -   ,  -   ,  7.00
74,TT-SWA-149,PAN2022053,,Women,Top,Sweater,Womens Sweater,PISTACHIO SHELL,4.28,14.32,  -   ,6,3,  -   ,  -   ,  -   ,  9.00
75,TT-SWA-150,PAN2022054,,Women,Top,Sweater,Womens Sweater,OMPHALODES,4.28,14.32,  -   ,2,4,3,  -   ,  -   ,  9.00
76,TT-SWA-151,PAN2022055,,Women,Top,Sweater,Womens Sweater,sap green,4.28,14.32,  -   ,5,4,1,  -   ,  -   ,  10.00
77,TT-SWA-152,PAN2022056,,Women,Top,Sweater,Womens Sweater,shopping bag,4.28,14.32,  -   ,8,1,  -   ,  -   ,  -   ,  9.00
78,TT-SWA-153,PAN2022057,,Women,Top,Sweater,Womens Sweater,fragrant lilac,4.28,14.32,  -   ,5,3,1,  -   ,  -   ,  9.00
